mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,1,65536,1GB,1,4s,"1.000 GB",0.504,0.001,0.002,0.506,0.000,5.036,"1.984 GB/s ","988.266 MB/s"
GPU,1,65536,5GB,1,4s,"5.000 GB",2.467,0.001,0.002,1.644,0.000,8.250,"2.026 GB/s ","1.176 GB/s"
GPU,1,65536,10GB,1,4s,"10.000 GB",4.947,0.001,0.002,1.703,0.000,10.851,"2.021 GB/s ","1.459 GB/s"
GPU,1,65536,20GB,1,4s,"20.000 GB",10.495,0.001,0.002,1.761,0.000,16.866,"1.905 GB/s ","1.554 GB/s"
GPU,1,131072,1GB,1,4s,"1.000 GB",0.501,0.001,0.002,0.516,0.000,5.042,"1.997 GB/s ","982.376 MB/s"
GPU,1,131072,5GB,1,4s,"5.000 GB",2.110,0.001,0.001,1.645,0.000,7.892,"2.369 GB/s ","1.284 GB/s"
GPU,1,131072,10GB,1,4s,"10.000 GB",4.528,0.001,0.002,2.380,0.000,11.106,"2.208 GB/s ","1.406 GB/s"
GPU,1,131072,20GB,1,4s,"20.000 GB",10.425,0.001,0.002,2.292,0.000,17.320,"1.918 GB/s ","1.501 GB/s"
GPU,1,262144,1GB,1,4s,"1.000 GB",0.501,0.001,0.002,0.397,0.000,4.924,"1.994 GB/s ","1.081 GB/s"
GPU,1,262144,5GB,1,4s,"5.000 GB",2.469,0.001,0.002,1.513,0.000,8.120,"2.024 GB/s ","1.213 GB/s"
GPU,1,262144,10GB,1,4s,"10.000 GB",5.194,0.001,0.002,1.761,0.000,11.253,"1.925 GB/s ","1.378 GB/s"
GPU,1,262144,20GB,1,4s,"20.000 GB",10.399,0.001,0.002,2.201,0.000,17.203,"1.923 GB/s ","1.515 GB/s"
GPU,1,524288,1GB,1,4s,"1.000 GB",0.500,0.001,0.002,0.485,0.000,5.011,"1.999 GB/s ","1012.559 MB/s"
GPU,1,524288,5GB,1,4s,"5.000 GB",2.464,0.001,0.002,1.393,0.000,7.995,"2.028 GB/s ","1.251 GB/s"
GPU,1,524288,10GB,1,4s,"10.000 GB",5.129,0.001,0.002,1.505,0.000,10.939,"1.949 GB/s ","1.440 GB/s"
GPU,1,524288,20GB,1,4s,"20.000 GB",10.486,0.001,0.002,1.790,0.000,16.889,"1.907 GB/s ","1.551 GB/s"
GPU,1,1048576,1GB,1,4s,"1.000 GB",0.502,0.001,0.002,0.473,0.000,5.002,"1.990 GB/s ","1021.826 MB/s"
GPU,1,1048576,5GB,1,4s,"5.000 GB",2.466,0.001,0.002,1.425,0.000,8.028,"2.027 GB/s ","1.241 GB/s"
GPU,1,1048576,10GB,1,4s,"10.000 GB",5.104,0.001,0.002,2.279,0.000,11.681,"1.959 GB/s ","1.302 GB/s"
GPU,1,1048576,20GB,1,4s,"20.000 GB",10.534,0.001,0.002,2.312,0.000,17.451,"1.898 GB/s ","1.486 GB/s"
GPU,1,2097152,1GB,1,4s,"1.000 GB",0.503,0.001,0.002,0.489,0.000,5.019,"1.987 GB/s ","1005.063 MB/s"
GPU,1,2097152,5GB,1,4s,"5.000 GB",2.477,0.001,0.002,1.421,0.000,8.037,"2.018 GB/s ","1.238 GB/s"
GPU,1,2097152,10GB,1,4s,"10.000 GB",5.183,0.001,0.002,1.128,0.000,10.613,"1.929 GB/s ","1.512 GB/s"
GPU,1,2097152,20GB,1,4s,"20.000 GB",10.502,0.001,0.002,1.803,0.000,16.916,"1.904 GB/s ","1.548 GB/s"
GPU,1,4194304,1GB,1,4s,"1.000 GB",0.502,0.001,0.002,0.491,0.000,5.020,"1.992 GB/s ","1004.405 MB/s"
GPU,1,4194304,5GB,1,4s,"5.000 GB",2.465,0.001,0.002,1.410,0.000,8.011,"2.028 GB/s ","1.246 GB/s"
GPU,1,4194304,10GB,1,4s,"10.000 GB",5.101,0.001,0.002,2.193,0.000,11.592,"1.960 GB/s ","1.316 GB/s"
GPU,1,4194304,20GB,1,4s,"20.000 GB",10.472,0.001,0.010,2.237,0.000,17.325,"1.909 GB/s ","1.500 GB/s"
