mode,io_threads,block_size,dataset_size,ranks,compute_time,read_size,raw_read_time,metadata_time,raw_read_rate,observed_read_rate
GPU,1,65536,1GB,1,4s,"1.000 GB",0.234,0.001,"4.268 GB/s ","4.246 GB/s"
GPU,1,65536,5GB,1,4s,"5.000 GB",1.242,0.001,"4.025 GB/s ","4.021 GB/s"
GPU,1,65536,10GB,1,4s,"10.000 GB",2.643,0.001,"3.783 GB/s ","3.781 GB/s"
GPU,1,65536,20GB,1,4s,"20.000 GB",9.002,0.001,"2.222 GB/s ","2.221 GB/s"
GPU,1,131072,1GB,1,4s,"1.000 GB",0.263,0.001,"3.799 GB/s ","3.767 GB/s"
GPU,1,131072,5GB,1,4s,"5.000 GB",1.231,0.001,"4.062 GB/s ","4.059 GB/s"
GPU,1,131072,10GB,1,4s,"10.000 GB",2.381,0.001,"4.200 GB/s ","4.196 GB/s"
GPU,1,131072,20GB,1,4s,"20.000 GB",4.881,0.001,"4.098 GB/s ","4.097 GB/s"
GPU,1,262144,1GB,1,4s,"1.000 GB",0.261,0.001,"3.836 GB/s ","3.814 GB/s"
GPU,1,262144,5GB,1,4s,"5.000 GB",1.231,0.001,"4.062 GB/s ","4.055 GB/s"
GPU,1,262144,10GB,1,4s,"10.000 GB",2.384,0.001,"4.193 GB/s ","4.191 GB/s"
GPU,1,262144,20GB,1,4s,"20.000 GB",4.790,0.001,"4.175 GB/s ","4.173 GB/s"
GPU,1,524288,1GB,1,4s,"1.000 GB",0.261,0.001,"3.831 GB/s ","3.813 GB/s"
GPU,1,524288,5GB,1,4s,"5.000 GB",1.231,0.001,"4.061 GB/s ","4.057 GB/s"
GPU,1,524288,10GB,1,4s,"10.000 GB",2.387,0.001,"4.189 GB/s ","4.188 GB/s"
GPU,1,524288,20GB,1,4s,"20.000 GB",4.763,0.001,"4.198 GB/s ","4.196 GB/s"
GPU,1,1048576,1GB,1,4s,"1.000 GB",0.263,0.001,"3.798 GB/s ","3.780 GB/s"
GPU,1,1048576,5GB,1,4s,"5.000 GB",1.234,0.001,"4.050 GB/s ","4.046 GB/s"
GPU,1,1048576,10GB,1,4s,"10.000 GB",2.388,0.001,"4.187 GB/s ","4.185 GB/s"
GPU,1,1048576,20GB,1,4s,"20.000 GB",4.670,0.001,"4.282 GB/s ","4.280 GB/s"
